종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS
000210,DL,1976-02-02,60700,1269926570400,44884.0,2712717700.0,20955884.0,67178.0,4.64,0.9,13077.0,2.14,1300.0
004840,DRB동일,1976-05-21,5100,100646500000,17239.0,86424720.0,19930000.0,17702.0,42.16,0.29,121.0,0.98,50.0
155660,DSR,2013-05-15,5720,90880000000,86267.0,488517600.0,16000000.0,10087.0,10.25,0.57,558.0,0.87,50.0
078930,GS,2004-08-05,42050,3911737413800,193663.0,8113953150.0,92915378.0,88213.0,0.0,0.48,0.0,4.52,1900.0
001250,GS글로벌,1976-06-26,2575,211286435840,6011798.0,15443687535.0,82533764.0,3465.0,0.0,0.74,0.0,0.0,0.0
039570,HDC랩스,2015-09-24,10600,273852690550,31441.0,333745850.0,25957601.0,9958.0,10.47,1.06,1012.0,3.77,400.0
011200,HMM,1995-10-05,35400,17336450133200,53898902.0,1878856442750.0,489039496.0,5164.0,343.8,6.86,103.0,0.0,0.0
092220,KEC,2006-10-16,2980,432073200885,1639808.0,4890799925.0,144748141.0,1394.0,0.0,2.14,0.0,0.0,0.0
016380,KG동부제철,1986-02-03,11150,1120099646400,274037.0,3015136850.0,100008897.0,9715.0,16.69,1.15,668.0,0.9,100.0
001390,KG케미칼,1989-08-25,30050,417369489600,151315.0,4596381950.0,13866096.0,29370.0,8.95,1.02,3358.0,1.33,400.0
058860,KTis,2010-12-17,2285,79696580000,47514.0,108713390.0,34802000.0,4810.0,10.25,0.48,223.0,3.5,80.0
373220,LG에너지솔루션,2022-01-27,428500,100269000000000,307322.0,132130508500.0,234000000.0,34398.0,0.0,12.46,0.0,0.0,0.0
011070,LG이노텍,2008-07-24,337500,7987648612500,421248.0,143229079000.0,23667107.0,102576.0,33.8,3.29,9978.0,0.21,700.0
037560,LG헬로비전,2012-11-09,5250,405047103950,555682.0,2886475270.0,77446865.0,8149.0,0.0,0.64,0.0,1.43,75.0
108670,LX하우시스,2009-04-20,57400,516537792000,83131.0,4795853000.0,8967670.0,83775.0,0.0,0.69,0.0,0.52,300.0
010060,OCI,1985-07-09,110000,2635355495500,266050.0,29297542000.0,23849371.0,98159.0,0.0,1.12,0.0,0.0,0.0
402340,SK스퀘어,2021-11-29,53000,7526074777200,1102027.0,58897748600.0,141467571.0,0.0,0.0,0.0,0.0,0.0,0.0
096770,SK이노베이션,2007-07-25,212000,19602699568000,306997.0,64916255000.0,92465564.0,155153.0,0.0,1.37,0.0,0.0,0.0
011810,STX,1990-09-12,4180,119637677720,120644.0,501214385.0,28621454.0,1314.0,0.0,3.18,0.0,0.0,0.0
024070,WISCOM,1996-11-22,3135,47741854370,22224.0,69178320.0,15326438.0,7616.0,0.0,0.41,0.0,1.59,50.0
011420,갤럭시아에스엠,1989-11-14,2405,66119145600,191610.0,460593705.0,27549644.0,752.0,66.8,3.2,36.0,0.0,0.0
002100,경농,1977-06-30,13100,256721861250,1311595.0,17712951850.0,19522575.0,8886.0,18.56,1.47,706.0,1.91,250.0
012320,경동인베스트,1997-03-07,34750,81829795800,2186.0,75423050.0,2365023.0,178373.0,5.0,0.19,6956.0,1.44,500.0
007690,국도화학,1989-08-05,58900,529824220800,70112.0,4069011200.0,9010616.0,71901.0,14.14,0.82,4165.0,2.04,1200.0
005320,국동,1996-12-24,2385,130844874960,859886.0,2051006940.0,55208808.0,2309.0,5.21,1.03,458.0,2.1,50.0
014530,극동유화,1991-01-31,4160,144882440100,1207593.0,5098210950.0,34869420.0,4917.0,19.53,0.85,213.0,3.37,140.0
008350,남선알미늄,1978-05-22,2525,278202202250,4225210.0,10723158395.0,110179090.0,1716.0,26.58,1.47,95.0,0.0,0.0
353200,대덕전자,2020-05-21,24500,1213185508750,1082176.0,26572112250.0,49416925.0,12381.0,0.0,1.98,0.0,1.22,300.0
128820,대성산업,2010-07-30,5030,226629744780,2295940.0,11724538995.0,45235478.0,11151.0,3.56,0.45,1414.0,0.0,0.0
047040,대우건설,2001-03-23,6950,2888577334100,6069675.0,41873773550.0,415622638.0,6435.0,10.06,1.08,691.0,0.0,0.0
003090,대웅,1973-06-26,31050,1799494281000,51327.0,1583453700.0,58141980.0,11787.0,13.25,2.63,2343.0,0.32,100.0
145720,덴티움,2017-03-15,75600,836803548000,616953.0,46606443500.0,11068830.0,20715.0,28.92,3.65,2614.0,0.26,200.0
282690,동아타이어,2017-11-29,11500,157929672500,7451.0,85266600.0,13733015.0,26714.0,11.84,0.43,971.0,6.96,800.0
286940,롯데정보통신,2018-07-27,36500,561196264950,12412.0,452277250.0,15396331.0,26847.0,18.48,1.36,1975.0,1.92,700.0
