종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS
000210,DL,1976-02-02,60400,1263639805200,36947,2240102600,20955884,67178.0,4.62,0.9,13077.0,2.15,1300.0
004840,DRB동일,1976-05-21,5110,101842300000,16888,86325580,19930000,17702.0,42.22,0.29,121.0,0.98,50.0
155660,DSR,2013-05-15,5440,87200000000,48737,262067600,16000000,10087.0,9.75,0.54,558.0,0.92,50.0
078930,GS,2004-08-05,40350,3753781271200,168667,6772527200,92915378,88213.0,0.0,0.46,0.0,4.71,1900.0
001250,GS글로벌,1976-06-26,2220,181986949620,721277,1590782970,82533764,3465.0,0.0,0.64,0.0,0.0,0.0
039570,HDC랩스,2015-09-24,10350,268661170350,20895,217250450,25957601,9958.0,10.23,1.04,1012.0,3.86,400.0
011200,HMM,1995-10-05,30750,15062416476800,11516941,359719030750,489039496,5164.0,298.5,5.95,103.0,0.0,0.0
092220,KEC,2006-10-16,3025,437139385820,1683507,5058826985,144748141,1394.0,0.0,2.17,0.0,0.0,0.0
016380,KG동부제철,1986-02-03,10400,1035092083950,219531,2258761550,100008897,9715.0,15.57,1.07,668.0,0.96,100.0
001390,KG케미칼,1989-08-25,27400,380624335200,36258,981411350,13866096,29370.0,8.16,0.93,3358.0,1.46,400.0
058860,KTis,2010-12-17,2245,78130490000,85915,192602670,34802000,4810.0,10.07,0.47,223.0,3.56,80.0
373220,LG에너지솔루션,2022-01-27,442000,103545000000000,376631,166488170000,234000000,34398.0,0.0,12.85,0.0,0.0,0.0
011070,LG이노텍,2008-07-24,335000,7916647291500,526739,172098322000,23667107,102576.0,33.56,3.27,9978.0,0.21,700.0
037560,LG헬로비전,2012-11-09,5020,387234325000,267760,1345054360,77446865,8149.0,0.0,0.62,0.0,1.49,75.0
108670,LX하우시스,2009-04-20,53200,477080044000,45821,2419341700,8967670,83775.0,0.0,0.64,0.0,0.56,300.0
010060,OCI,1985-07-09,99000,2356317854800,512368,50332780800,23849371,98159.0,0.0,1.01,0.0,0.0,0.0
402340,SK스퀘어,2021-11-29,57700,8134385332500,1467546,83613258900,141467571,0.0,0.0,0.0,0.0,0.0,0.0
096770,SK이노베이션,2007-07-25,201500,18678043928000,296335,59689819000,92465564,155153.0,0.0,1.3,0.0,0.0,0.0
011810,STX,1990-09-12,4200,120210106800,4007734,17296636125,28621454,1314.0,0.0,3.2,0.0,0.0,0.0
024070,WISCOM,1996-11-22,3030,46439107140,53501,160793490,15326438,7616.0,0.0,0.4,0.0,1.65,50.0
011420,갤럭시아에스엠,1989-11-14,2440,67358879580,290592,712042580,27549644,752.0,67.75,3.24,36.0,0.0,0.0
002100,경농,1977-06-30,12400,243056058750,85984,1071414750,19522575,8886.0,17.56,1.4,706.0,2.02,250.0
