종목코드,종목명,산업,섹터
014190,원익큐브,소재,소재
025820,이구산업,소재,소재
015890,태경산업,소재,소재
294140,레몬,소재,소재
009460,한창제지,소재,소재
032560,황금에스티,소재,소재
003780,진양산업,소재,소재
014580,태경비케이,소재,소재
000480,조선내화,소재,소재
025550,한국선재,소재,소재
010040,한국내화,소재,소재
006740,영풍제지,소재,소재
136410,아셈스,소재,소재
007280,한국특강,소재,소재
120240,대정화금,소재,소재
006890,태경케미컬,소재,소재
352940,인바이오,소재,소재
039240,경남스틸,소재,소재
032860,휴먼엔,소재,소재
009620,삼보산업,소재,소재
021050,서원,소재,소재
023440,제일제강,소재,소재
008420,문배철강,소재,소재
008260,NI스틸,소재,소재
092230,KPX홀딩스,소재,소재
002100,경농,소재,소재
009200,무림페이퍼,소재,소재
002200,한국수출포장,소재,소재
134380,미원화학,소재,소재
133820,화인베스틸,소재,소재
036670,KCI,소재,소재
066430,와이오엠,소재,소재
357550,석경에이티,소재,소재
128660,피제이메탈,소재,소재
045060,오공,소재,소재
007590,동방아그로,소재,소재
120030,조선선재,소재,소재
177830,파버나인,소재,소재
058650,세아홀딩스,소재,소재
001080,만호제강,소재,소재
010640,진양폴리,소재,소재
048470,대동스틸,소재,소재
286750,나노브릭,소재,소재
027970,세하,소재,소재
187790,나노,소재,소재
003830,대한화섬,소재,소재
037230,한국팩키지,소재,소재
101240,씨큐브,소재,소재
017480,삼현철강,소재,소재
026940,부국철강,소재,소재
014440,영보화학,소재,소재
004780,대륙제관,소재,소재
019440,세아특수강,소재,소재
196700,웹스,소재,소재
075970,동국알앤에스,소재,소재
002220,한일철강,소재,소재
017650,대림제지,소재,소재
001550,조비,소재,소재
222420,쎄노텍,소재,소재
318000,한국바이오젠,소재,소재
050760,에스폴리텍,소재,소재
097870,효성오앤비,소재,소재
021040,대호특수강,소재,소재
004450,삼화왕관,소재,소재
053260,금강철강,소재,소재
071090,하이스틸,소재,소재
060380,동양에스텍,소재,소재
012620,원일특강,소재,소재
012160,영흥,소재,소재
002820,SUN&L,소재,소재
263770,유에스티,소재,소재
002870,신풍제지,소재,소재
037760,쎄니트,소재,소재
069730,DSR제강,소재,소재
051630,진양화학,소재,소재
110020,전진바이오팜,소재,소재
001020,페이퍼코리아,소재,소재
001810,무림SP,소재,소재
155660,DSR,소재,소재
002690,동일제강,소재,소재
024070,WISCOM,소재,소재
140520,대창스틸,소재,소재
060480,국일신동,소재,소재
008370,원풍,소재,소재
001560,제일연마,소재,소재
010420,한솔PNS,소재,소재
025890,한국주강,소재,소재
003080,성보화학,소재,소재
000590,CS홀딩스,소재,소재
007770,한일화학,소재,소재
079170,한창산업,소재,소재
049830,승일,소재,소재
048830,엔피케이,소재,소재
340440,세림B&G,소재,소재
115570,스타플렉스,소재,소재
014970,삼륭물산,소재,소재
023790,동일철강,소재,소재
008870,금비,소재,소재
001770,SHD,소재,소재
221980,케이디켐,소재,소재
054410,케이피티유,소재,소재
026910,광진실업,소재,소재
005820,원림,소재,소재
000760,이화산업,소재,소재
028260,삼성물산,산업재,자본재
034730,SK,산업재,자본재
034020,두산중공업,산업재,자본재
003550,LG,산업재,자본재
009540,한국조선해양,산업재,자본재
028050,삼성엔지니어링,산업재,자본재
010140,삼성중공업,산업재,자본재
000720,현대건설,산업재,자본재
028300,HLB,산업재,자본재
006360,GS건설,산업재,자본재
047810,한국항공우주,산업재,자본재
375500,DL이앤씨,산업재,자본재
241560,두산밥캣,산업재,자본재
010620,현대미포조선,산업재,자본재
012450,한화에어로스페이스,산업재,자본재
002380,KCC,산업재,자본재
329180,현대중공업,산업재,자본재
064350,현대로템,산업재,자본재
047040,대우건설,산업재,자본재
017800,현대엘리베이,산업재,자본재
001040,CJ,산업재,자본재
272210,한화시스템,산업재,자본재
047050,포스코인터내셔널,산업재,자본재
112610,씨에스윈드,산업재,자본재
042660,대우조선해양,산업재,자본재
042670,현대두산인프라코어,산업재,자본재
006260,LS,산업재,자본재
003410,쌍용C&E,산업재,자본재
001120,LX인터내셔널,산업재,자본재
004800,효성,산업재,자본재
010780,아이에스동서,산업재,자본재
079550,LIG넥스원,산업재,자본재
009240,한샘,산업재,자본재
363280,티와이홀딩스,산업재,자본재
010120,LS ELECTRIC,산업재,자본재
294870,HDC현대산업개발,산업재,자본재
013890,지누스,산업재,자본재
056190,에스에프에이,산업재,자본재
000150,두산,산업재,자본재
001740,SK네트웍스,산업재,자본재
344820,KCC글라스,산업재,자본재
001440,대한전선,산업재,자본재
100090,삼강엠앤티,산업재,자본재
267260,현대일렉트릭,산업재,자본재
383800,LX홀딩스,산업재,자본재
267270,현대건설기계,산업재,자본재
300720,한일시멘트,산업재,자본재
108670,LX하우시스,산업재,자본재
017960,한국카본,산업재,자본재
099320,쎄트렉아이,산업재,자본재
018000,유니슨,산업재,자본재
001470,삼부토건,산업재,자본재
082740,HSD엔진,산업재,자본재
012630,HDC,산업재,자본재
298040,효성중공업,산업재,자본재
025900,동화기업,산업재,자본재
007460,에이프로젠 MED,산업재,자본재
183190,아세아시멘트,산업재,자본재
006910,보성파워텍,산업재,자본재
004980,성신양회,산업재,자본재
001880,DL건설,산업재,자본재
023410,유진기업,산업재,자본재
282880,코윈테크,산업재,자본재
074610,이엔플러스,산업재,자본재
002990,금호건설,산업재,자본재
019210,와이지-원,산업재,자본재
094820,일진파워,산업재,자본재
038500,삼표시멘트,산업재,자본재
001520,동양,산업재,자본재
013120,동원개발,산업재,자본재
035890,서희건설,산업재,자본재
013580,계룡건설,산업재,자본재
002020,코오롱,산업재,자본재
000490,대동,산업재,자본재
079430,현대리바트,산업재,자본재
002780,진흥기업,산업재,자본재
002900,TYM,산업재,자본재
009160,SIMPAC,산업재,자본재
011760,현대코퍼레이션,산업재,자본재
090360,로보스타,산업재,자본재
104460,디와이피엔에프,산업재,자본재
067390,아스트,산업재,자본재
023160,태광,산업재,자본재
013030,하이록코리아,산업재,자본재
045100,한양이엔지,산업재,자본재
090710,휴림로봇,산업재,자본재
011370,서한,산업재,자본재
014620,성광벤드,산업재,자본재
075580,세진중공업,산업재,자본재
003300,한일홀딩스,산업재,자본재
060310,3S,산업재,자본재
065450,빅텍,산업재,자본재
095190,이엠코리아,산업재,자본재
028100,동아지질,산업재,자본재
002460,화성산업,산업재,자본재
026150,특수건설,산업재,자본재
277810,레인보우로보틱스,산업재,자본재
007210,벽산,산업재,자본재
000390,삼화페인트,산업재,자본재
064820,케이프,산업재,자본재
010820,퍼스텍,산업재,자본재
073640,테라사이언스,산업재,자본재
002150,도화엔지니어링,산업재,자본재
005960,동부건설,산업재,자본재
004960,한신공영,산업재,자본재
016800,퍼시스,산업재,자본재
003070,코오롱글로벌,산업재,자본재
013570,디와이,산업재,자본재
036190,금화피에스시,산업재,자본재
009410,태영건설,산업재,자본재
043220,에이치엘비파워,산업재,자본재
014280,금강공업,산업재,자본재
011700,한신기계,산업재,자본재
126880,제이엔케이히터,산업재,자본재
105840,우진,산업재,자본재
010170,대한광통신,산업재,자본재
126340,비나텍,산업재,자본재
361390,제노코,산업재,자본재
036890,진성티이씨,산업재,자본재
016880,웅진,산업재,자본재
014790,한라,산업재,자본재
109610,에스와이,산업재,자본재
277880,티에스아이,산업재,자본재
019990,에너토크,산업재,자본재
090350,노루페인트,산업재,자본재
025750,한솔홈데코,산업재,자본재
014200,광림,산업재,자본재
097230,HJ중공업,산업재,자본재
210540,디와이파워,산업재,자본재
317400,자이에스앤디,산업재,자본재
053590,한국테크놀로지,산업재,자본재
006340,대원전선,산업재,자본재
052300,초록뱀컴퍼니,산업재,자본재
051490,나라엠앤디,산업재,자본재
007820,에스엠코어,산업재,자본재
001250,GS글로벌,산업재,자본재
065950,웰크론,산업재,자본재
039570,HDC랩스,산업재,자본재
274090,켄코아에어로스페이스,산업재,자본재
071670,에이테크솔루션,산업재,자본재
215090,휴센텍,산업재,자본재
042370,비츠로테크,산업재,자본재
186230,그린플러스,산업재,자본재
015860,일진홀딩스,산업재,자본재
053690,한미글로벌,산업재,자본재
007110,일신석재,산업재,자본재
024810,이화전기,산업재,자본재
006390,한일현대시멘트,산업재,자본재
037440,희림,산업재,자본재
014940,오리엔탈정공,산업재,자본재
018310,삼목에스폼,산업재,자본재
140670,알에스오토메이션,산업재,자본재
005870,휴니드,산업재,자본재
004380,삼익THK,산업재,자본재
089140,넥스턴바이오,산업재,자본재
000860,강남제비스코,산업재,자본재
225530,보광산업,산업재,자본재
060560,홈센타홀딩스,산업재,자본재
214430,아이쓰리시스템,산업재,자본재
230980,에이트원,산업재,자본재
044060,조광ILI,산업재,자본재
042940,상지카일룸,산업재,자본재
034300,신세계건설,산업재,자본재
010960,삼호개발,산업재,자본재
229640,LS전선아시아,산업재,자본재
103590,일진전기,산업재,자본재
000910,유니온,산업재,자본재
036560,영풍정밀,산업재,자본재
297090,씨에스베어링,산업재,자본재
008250,이건산업,산업재,자본재
017040,광명전기,산업재,자본재
013360,일성건설,산업재,자본재
017000,신원종합개발,산업재,자본재
016250,SGC이테크건설,산업재,자본재
053080,원방테크,산업재,자본재
101930,인화정공,산업재,자본재
003800,에이스침대,산업재,자본재
002410,범양건영,산업재,자본재
054180,메디콕스,산업재,자본재
119650,KC코트렐,산업재,자본재
060370,KT서브마린,산업재,자본재
309930,오하임아이엔티,산업재,자본재
096350,대창솔루션,산업재,자본재
021320,KCC건설,산업재,자본재
011090,에넥스,산업재,자본재
017550,수산중공업,산업재,자본재
066620,국보디자인,산업재,자본재
105740,디케이락,산업재,자본재
013700,까뮤이앤씨,산업재,자본재
085310,엔케이,산업재,자본재
084180,수성이노베이션,산업재,자본재
005750,대림B&Co,산업재,자본재
001840,이화공영,산업재,자본재
049800,우진플라임,산업재,자본재
025950,동신건설,산업재,자본재
015230,대창단조,산업재,자본재
049430,코메론,산업재,자본재
077970,STX엔진,산업재,자본재
189860,서전기전,산업재,자본재
108380,대양전기공업,산업재,자본재
033540,파라텍,산업재,자본재
090410,덕신하우징,산업재,자본재
109860,동일금속,산업재,자본재
033100,제룡전기,산업재,자본재
046940,우원개발,산업재,자본재
255220,SG,산업재,자본재
058730,다스코,산업재,자본재
083650,비에이치아이,산업재,자본재
015590,큐로,산업재,자본재
003010,혜인,산업재,자본재
000320,노루홀딩스,산업재,자본재
009440,KC그린홀딩스,산업재,자본재
171120,라이온켐텍,산업재,자본재
000500,가온전선,산업재,자본재
198440,고려시멘트,산업재,자본재
065570,삼영이엔씨,산업재,자본재
100840,SNT에너지,산업재,자본재
004440,삼일씨엔에스,산업재,자본재
071970,STX중공업,산업재,자본재
022220,정산애강,산업재,자본재
119850,지엔씨에너지,산업재,자본재
006050,국영지앤엠,산업재,자본재
076080,웰크론한텍,산업재,자본재
037350,성도이엔지,산업재,자본재
099440,스맥,산업재,자본재
011390,부산산업,산업재,자본재
024880,케이피에프,산업재,자본재
004910,조광페인트,산업재,자본재
226360,KH E&T,산업재,자본재
039020,이건홀딩스,산업재,자본재
199820,제일전기공업,산업재,자본재
001260,남광토건,산업재,자본재
054540,삼영엠텍,산업재,자본재
024840,KBI메탈,산업재,자본재
092460,한라IMS,산업재,자본재
091590,남화토건,산업재,자본재
086670,비엠티,산업재,자본재
023960,에쓰씨엔지니어링,산업재,자본재
221840,하이즈항공,산업재,자본재
017510,세명전기,산업재,자본재
159010,아스플로,산업재,자본재
041440,현대에버다임,산업재,자본재
147830,제룡산업,산업재,자본재
119500,포메탈,산업재,자본재
092440,기신정기,산업재,자본재
050860,아세아텍,산업재,자본재
051980,중앙디앤엠,산업재,자본재
000850,화천기공,산업재,자본재
011560,세보엠이씨,산업재,자본재
007610,선도전기,산업재,자본재
006920,모헨즈,산업재,자본재
010240,흥국,산업재,자본재
228340,동양파일,산업재,자본재
008470,부스타,산업재,자본재
039610,화성밸브,산업재,자본재
038010,제일테크노스,산업재,자본재
002290,삼일기업공사,산업재,자본재
035200,프럼파스트,산업재,자본재
044780,에이치케이,산업재,자본재
023350,한국종합기술,산업재,자본재
048770,TPC,산업재,자본재
101170,우림피티에스,산업재,자본재
010660,화천기계,산업재,자본재
138070,신진에스엠,산업재,자본재
101000,상상인인더스트리,산업재,자본재
134790,시디즈,산업재,자본재
054930,유신,산업재,자본재
317850,대모,산업재,자본재
043340,에쎈테크,산업재,자본재
011810,STX,산업재,자본재
071950,코아스,산업재,자본재
044180,KD,산업재,자본재
237750,피앤씨테크,산업재,자본재
100660,서암기계공업,산업재,자본재
053160,프리엠스,산업재,자본재
008830,대동기어,산업재,자본재
254120,자비스,산업재,자본재
060260,뉴보텍,산업재,자본재
073010,케이에스피,산업재,자본재
007680,대원,산업재,자본재
101670,코리아에스이,산업재,자본재
317830,에스피시스템스,산업재,자본재
192390,윈하이텍,산업재,자본재
010400,우진아이엔에스,산업재,자본재
079650,서산,산업재,자본재
059270,해성티피씨,산업재,자본재
079000,와토스코리아,산업재,자본재
333430,일승,산업재,자본재
073190,듀오백,산업재,자본재
006570,대림통상,산업재,자본재
012750,에스원,산업재,상업서비스와공급품
030190,NICE평가정보,산업재,상업서비스와공급품
034310,NICE,산업재,상업서비스와공급품
060150,인선이엔티,산업재,상업서비스와공급품
143240,사람인에이치알,산업재,상업서비스와공급품
122900,아이마켓코리아,산업재,상업서비스와공급품
090850,현대이지웰,산업재,상업서비스와공급품
029960,코엔텍,산업재,상업서비스와공급품
036800,나이스정보통신,산업재,상업서비스와공급품
377450,리파인,산업재,상업서비스와공급품
043910,자연과환경,산업재,상업서비스와공급품
130580,나이스디앤비,산업재,상업서비스와공급품
072520,제넨바이오,산업재,상업서비스와공급품
034950,한국기업평가,산업재,상업서비스와공급품
092130,이크레더블,산업재,상업서비스와공급품
058850,KTcs,산업재,상업서비스와공급품
094280,효성ITX,산업재,상업서비스와공급품
058860,KTis,산업재,상업서비스와공급품
049720,고려신용정보,산업재,상업서비스와공급품
036120,SCI평가정보,산업재,상업서비스와공급품
069140,누리플랜,산업재,상업서비스와공급품
033050,제이엠아이,산업재,상업서비스와공급품
030960,양지사,산업재,상업서비스와공급품
011200,HMM,산업재,운송
003490,대한항공,산업재,운송
088980,맥쿼리인프라,산업재,운송
086280,현대글로비스,산업재,운송
180640,한진칼,산업재,운송
028670,팬오션,산업재,운송
000120,CJ대한통운,산업재,운송
020560,아시아나항공,산업재,운송
003280,흥아해운,산업재,운송
089860,롯데렌탈,산업재,운송
005880,대한해운,산업재,운송
089590,제주항공,산업재,운송
319400,현대무벡스,산업재,운송
272450,진에어,산업재,운송
002320,한진,산업재,운송
298690,에어부산,산업재,운송
091810,티웨이항공,산업재,운송
044450,KSS해운,산업재,운송
003100,선광,산업재,운송
009070,KCTC,산업재,운송
004140,동방,산업재,운송
067900,와이엔텍,산업재,운송
004360,세방,산업재,운송
068400,SK렌터카,산업재,운송
001140,국보,산업재,운송
124560,태웅로직스,산업재,운송
000700,유수홀딩스,산업재,운송
009180,한솔로지스틱스,산업재,운송
095570,AJ네트웍스,산업재,운송
005430,한국공항,산업재,운송
155900,바다로19호,산업재,운송
038390,레드캡투어,산업재,운송
153360,하이골드3호,산업재,운송
024800,유성티엔에스,산업재,운송
045340,토탈소프트,산업재,운송
040610,SG&G,산업재,운송
014130,한익스프레스,산업재,운송
129260,인터지스,산업재,운송
004870,티웨이홀딩스,산업재,운송
084670,동양고속,산업재,운송
032280,삼일,산업재,운송
036000,예림당,산업재,운송
000650,천일고속,산업재,운송
005380,현대차,경기관련소비재,자동차와부품
000270,기아,경기관련소비재,자동차와부품
012330,현대모비스,경기관련소비재,자동차와부품
161390,한국타이어앤테크놀로지,경기관련소비재,자동차와부품
018880,한온시스템,경기관련소비재,자동차와부품
204320,만도,경기관련소비재,자동차와부품
011210,현대위아,경기관련소비재,자동차와부품
004490,세방전지,경기관련소비재,자동차와부품
009900,명신산업,경기관련소비재,자동차와부품
136510,에디슨EV,경기관련소비재,자동차와부품
271940,일진하이솔루스,경기관련소비재,자동차와부품
025540,한국단자,경기관련소비재,자동차와부품
005850,에스엘,경기관련소비재,자동차와부품
064960,SNT모티브,경기관련소비재,자동차와부품
073240,금호타이어,경기관련소비재,자동차와부품
000240,한국앤컴퍼니,경기관련소비재,자동차와부품
060980,한라홀딩스,경기관련소비재,자동차와부품
007340,디티알오토모티브,경기관련소비재,자동차와부품
038880,아이에이,경기관련소비재,자동차와부품
214330,금호에이치티,경기관련소비재,자동차와부품
015750,성우하이텍,경기관련소비재,자동차와부품
002350,넥센타이어,경기관련소비재,자동차와부품
123040,엠에스오토텍,경기관련소비재,자동차와부품
126600,코프라,경기관련소비재,자동차와부품
105550,트루윈,경기관련소비재,자동차와부품
088290,이원컴포텍,경기관련소비재,자동차와부품
007860,서연,경기관련소비재,자동차와부품
000430,대원강업,경기관련소비재,자동차와부품
118990,모트렉스,경기관련소비재,자동차와부품
066590,우수AMS,경기관련소비재,자동차와부품
122350,삼기,경기관련소비재,자동차와부품
033530,세종공업,경기관련소비재,자동차와부품
023800,인지컨트롤스,경기관련소비재,자동차와부품
013720,CBI,경기관련소비재,자동차와부품
010690,화신,경기관련소비재,자동차와부품
215360,우리산업,경기관련소비재,자동차와부품
092200,디아이씨,경기관련소비재,자동차와부품
353590,오토앤,경기관련소비재,자동차와부품
265560,영화테크,경기관련소비재,자동차와부품
005720,넥센,경기관련소비재,자동차와부품
003570,SNT중공업,경기관련소비재,자동차와부품
036530,SNT홀딩스,경기관련소비재,자동차와부품
234100,세원,경기관련소비재,자동차와부품
043370,피에이치에이,경기관련소비재,자동차와부품
041930,동아화성,경기관련소비재,자동차와부품
012860,모베이스전자,경기관련소비재,자동차와부품
045520,크린앤사이언스,경기관련소비재,자동차와부품
200880,서연이화,경기관련소비재,자동차와부품
000300,대유플러스,경기관련소비재,자동차와부품
009680,모토닉,경기관련소비재,자동차와부품
105330,케이엔더블유,경기관련소비재,자동차와부품
308170,센트랄모텍,경기관련소비재,자동차와부품
241690,유니테크노,경기관련소비재,자동차와부품
089470,HDC현대EP,경기관련소비재,자동차와부품
013310,아진산업,경기관련소비재,자동차와부품
067570,엔브이에이치코리아,경기관련소비재,자동차와부품
024740,한일단조,경기관련소비재,자동차와부품
047400,유니온머티리얼,경기관련소비재,자동차와부품
009320,대우부품,경기관련소비재,자동차와부품
012200,계양전기,경기관련소비재,자동차와부품
002880,대유에이텍,경기관련소비재,자동차와부품
104040,대성파인텍,경기관련소비재,자동차와부품
011320,유니크,경기관련소비재,자동차와부품
024900,덕양산업,경기관련소비재,자동차와부품
006660,삼성공조,경기관련소비재,자동차와부품
053700,삼보모터스,경기관련소비재,자동차와부품
024910,경창산업,경기관련소비재,자동차와부품
282690,동아타이어,경기관련소비재,자동차와부품
016740,두올,경기관련소비재,자동차와부품
123410,코리아에프티,경기관련소비재,자동차와부품
023810,인팩,경기관련소비재,자동차와부품
038110,에코플라스틱,경기관련소비재,자동차와부품
101330,모베이스,경기관련소비재,자동차와부품
005710,대원산업,경기관련소비재,자동차와부품
012280,영화금속,경기관련소비재,자동차와부품
170030,현대공업,경기관련소비재,자동차와부품
010100,한국프랜지,경기관련소비재,자동차와부품
013520,화승코퍼레이션,경기관련소비재,자동차와부품
023000,삼원강재,경기관련소비재,자동차와부품
021820,세원정공,경기관련소비재,자동차와부품
031510,오스템,경기관련소비재,자동차와부품
019180,티에이치엔,경기관련소비재,자동차와부품
007530,영신금속,경기관련소비재,자동차와부품
130500,GH신소재,경기관련소비재,자동차와부품
065500,오리엔트정공,경기관련소비재,자동차와부품
013870,지엠비코리아,경기관련소비재,자동차와부품
071850,캐스텍코리아,경기관련소비재,자동차와부품
054300,팬스타엔터프라이즈,경기관련소비재,자동차와부품
126640,화신정공,경기관련소비재,자동차와부품
025440,대성엘텍,경기관련소비재,자동차와부품
075180,새론오토모티브,경기관련소비재,자동차와부품
128540,에코캡,경기관련소비재,자동차와부품
378850,화승알앤에이,경기관련소비재,자동차와부품
085910,네오티스,경기관련소비재,자동차와부품
002920,유성기업,경기관련소비재,자동차와부품
000040,KR모터스,경기관련소비재,자동차와부품
090150,아이윈,경기관련소비재,자동차와부품
143210,핸즈코퍼레이션,경기관련소비재,자동차와부품
021650,한국큐빅,경기관련소비재,자동차와부품
001620,케이비아이동국실업,경기관련소비재,자동차와부품
048430,유라테크,경기관련소비재,자동차와부품
041650,상신브레이크,경기관련소비재,자동차와부품
019770,서연탑메탈,경기관련소비재,자동차와부품
017370,우신시스템,경기관련소비재,자동차와부품
053270,구영테크,경기관련소비재,자동차와부품
123700,SJM,경기관련소비재,자동차와부품
154040,솔루에타,경기관련소비재,자동차와부품
090080,평화산업,경기관련소비재,자동차와부품
310870,디와이씨,경기관련소비재,자동차와부품
092780,동양피스톤,경기관련소비재,자동차와부품
018500,동원금속,경기관련소비재,자동차와부품
163560,동일고무벨트,경기관련소비재,자동차와부품
001380,SG글로벌,경기관련소비재,자동차와부품
004840,DRB동일,경기관련소비재,자동차와부품
080470,성창오토텍,경기관련소비재,자동차와부품
004100,태양금속,경기관련소비재,자동차와부품
093380,풍강,경기관련소비재,자동차와부품
212560,네오오토,경기관련소비재,자동차와부품
005030,부산주공,경기관련소비재,자동차와부품
145210,다이나믹디자인,경기관련소비재,자동차와부품
010770,평화홀딩스,경기관련소비재,자동차와부품
019540,일지테크,경기관련소비재,자동차와부품
001420,태원물산,경기관련소비재,자동차와부품
130740,티피씨글로벌,경기관련소비재,자동차와부품
033250,체시스,경기관련소비재,자동차와부품
072470,우리산업홀딩스,경기관련소비재,자동차와부품
024120,KB오토시스,경기관련소비재,자동차와부품
161570,THE MIDONG,경기관련소비재,자동차와부품
113810,디젠스,경기관련소비재,자동차와부품
290120,대유에이피,경기관련소비재,자동차와부품
053060,세동,경기관련소비재,자동차와부품
025530,SJM홀딩스,경기관련소비재,자동차와부품
008500,일정실업,경기관련소비재,자동차와부품
020400,대동금속,경기관련소비재,자동차와부품
051900,LG생활건강,경기관련소비재,내구소비재와의류
090430,아모레퍼시픽,경기관련소비재,내구소비재와의류
021240,코웨이,경기관련소비재,내구소비재와의류
383220,F&F,경기관련소비재,내구소비재와의류
081660,휠라홀딩스,경기관련소비재,내구소비재와의류
002790,아모레G,경기관련소비재,내구소비재와의류
298020,효성티앤씨,경기관련소비재,내구소비재와의류
048410,현대바이오,경기관련소비재,내구소비재와의류
111770,영원무역,경기관련소비재,내구소비재와의류
161890,한국콜마,경기관련소비재,내구소비재와의류
192820,코스맥스,경기관련소비재,내구소비재와의류
020000,한섬,경기관련소비재,내구소비재와의류
007700,F&F홀딩스,경기관련소비재,내구소비재와의류
005440,현대그린푸드,경기관련소비재,내구소비재와의류
031430,신세계인터내셔날,경기관련소비재,내구소비재와의류
105630,한세실업,경기관련소비재,내구소비재와의류
298540,더네이쳐홀딩스,경기관련소비재,내구소비재와의류
093050,LF,경기관련소비재,내구소비재와의류
009450,경동나비엔,경기관련소비재,내구소비재와의류
001530,DI동일,경기관련소비재,내구소비재와의류
241590,화승엔터프라이즈,경기관련소비재,내구소비재와의류
